Timestamp,System_Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Command
17025.122801833,1689476961,1282191.0,-1331979.0,1042265.0,380509.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.122980125,1689476961,1272826.0,-1330017.0,1041486.0,381012.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.130254833,1689476961,1296503.0,-1330344.0,1052174.0,385902.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.130517458,1689476961,1309125.0,-1332649.0,1054075.0,385883.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.138934125,1689476961,1286903.0,-1332701.0,1043403.0,380788.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.139348041,1689476961,1272014.0,-1330966.0,1040063.0,379863.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.146909083,1689476961,1291682.0,-1330482.0,1050000.0,384762.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.147086375,1689476961,1310139.0,-1332094.0,1055021.0,386582.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.153293458,1689476961,1291788.0,-1332758.0,1045306.0,381658.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.169042125,1689476961,1272631.0,-1330987.0,1039946.0,379791.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.169425458,1689476961,1287245.0,-1330154.0,1048548.0,384311.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.179350375,1689476961,1309779.0,-1331827.0,1055841.0,387098.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.179516958,1689476961,1296875.0,-1333089.0,1047528.0,382506.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.186524583,1689476961,1273629.0,-1331879.0,1039332.0,379201.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.186859208,1689476961,1282489.0,-1330637.0,1045904.0,383014.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.193981458,1689476961,1307521.0,-1332453.0,1054726.0,386541.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.199555375,1689476961,1300995.0,-1333713.0,1048941.0,383288.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.199742583,1689476961,1276073.0,-1332515.0,1039725.0,379388.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.205541291,1689476961,1278159.0,-1331232.0,1043793.0,381742.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.205708583,1689476961,1304037.0,-1332399.0,1053966.0,386221.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.211628791,1689476961,1304539.0,-1334119.0,1051078.0,384317.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.211985083,1689476961,1279546.0,-1332711.0,1041242.0,380315.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.217852208,1689476961,1275369.0,-1330586.0,1042833.0,381894.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.218055708,1689476961,1300848.0,-1331254.0,1053818.0,386874.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.226100041,1689476961,1308469.0,-1332896.0,1053843.0,386244.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.226527166,1689476961,1284221.0,-1332079.0,1043093.0,381530.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.232387583,1689476961,1273430.0,-1330332.0,1041513.0,381612.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.232560875,1689476961,1296268.0,-1330344.0,1052373.0,386614.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.238386833,1689476961,1309758.0,-1332782.0,1054853.0,386807.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.238575541,1689476961,1288375.0,-1333195.0,1044490.0,381682.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.244519208,1689476961,1272323.0,-1331456.0,1040583.0,380608.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.250464416,1689476961,1290689.0,-1330697.0,1050171.0,385496.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
17025.250654875,1689476961,1309637.0,-1332686.0,1055357.0,387084.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,99
